8+43   _51
87*82  _7134  
625*84 _52500 
0+295  _295
12*678 _8136  
358*115_41170 
64+581 _645
864+9  _873
735+0  _735
133+75 _208
73*110 _8030  
641+679_1320
16*439 _7024  
986+12 _998
905+45 _950
2*551  _1102  
446+647_1093
575*296_170200
87*932 _81084 
249+71 _320
97*682 _66154 
89+568 _657
517*91 _47047 
481+354_835
824+126_950
661*90 _59490 
943+507_1450
64+699 _763
494*517_255398
961*7  _6727  
41+456 _497
953*722_688066
889+65 _954
430+111_541
32+70  _102
645*27 _17415 
698+469_1167
18*96  _1728  
940*59 _55460 
652+130_782
88+12  _100
482*62 _29884 
461*33 _15213 
31+15  _46
245*88 _21560 
443+286_729
301+661_962
538+18 _556
26+312 _338
347+44 _391
374+942_1316
27*494 _13338 
622+50 _672
7+969  _976
257*795_204315
0+417  _417
937*314_294218
14+54  _68
891*68 _60588 
826+30 _856
57+325 _382
64+379 _443
0+815  _815
74+11  _85
539+4  _543
6+656  _662
491*977_479707
396*69 _27324 
26+199 _225
997*8  _7976  
97+99  _196
87*18  _1566  
294+903_1197
188+286_474
890*88 _78320 
856+514_1370
38+416 _454
683+121_804
744*93 _69192 
377+641_1018
932*72 _67104 
101*83 _8383  
41*452 _18532 
4*347  _1388  
250+70 _320
895+88 _983
262+880_1142
67*335 _22445 
59*67  _3953  
8*254  _2032  
553*38 _21014 
70*281 _19670 
84+899 _983
368*770_283360
572+58 _630
210*73 _15330 
519+77 _596
74*478 _35372 
314+309_623
464+95 _559
19+95  _114
624+315_939
72*489 _35208 
4*682  _2728  
144*28 _4032  
62*601 _37262 
321*134_43014 
955+510_1465
380*0  _0     
431+9  _440
775+90 _865
717*482_345594
190+245_435
33+19  _52
316*582_183912
357+211_568
48+789 _837
90*976 _87840 
834+924_1758
119*5  _595   
622+9  _631
251*19 _4769  
207*88 _18216 
352*558_196416
28*646 _18088 
206+5  _211
42*361 _15162 
710*67 _47570 
35+318 _353
565+877_1442
877+4  _881
788+3  _791
19+809 _828
6+881  _887
344*304_104576
409+2  _411
7+463  _470
73*93  _6789  
955*51 _48705 
82+63  _145
139*133_18487 
62*321 _19902 
50+572 _622
849*63 _53487 
73*257 _18761 
92+864 _956
987*455_449085
86+853 _939
880+999_1879
69*82  _5658  
252*68 _17136 
359*69 _24771 
186+82 _268
519*484_251196
816*34 _27744 
37+37  _74
76+463 _539
956+222_1178
28+849 _877
412+61 _473
727*809_588143
620+36 _656
568+249_817
400*59 _23600 
11+55  _66
152*96 _14592 
852*685_583620
670*12 _8040  
14*369 _5166  
304*428_130112
250+844_1094
96+464 _560
244*684_166896
39+758 _797
376+7  _383
610*47 _28670 
292*276_80592 
185*43 _7955  
322+546_868
867*866_750822
262+99 _361
930*7  _6510  
10*65  _650   
39*903 _35217 
5+726  _731
445+87 _532
381*38 _14478 
437*64 _27968 
445+75 _520
81*458 _37098 
623*16 _9968  
35+633 _668
274*7  _1918  
48*41  _1968  
63*927 _58401 
54+234 _288
891*433_385803
551*4  _2204  
766+58 _824
641+83 _724
552*435_240120
378+58 _436
727*8  _5816  
593+20 _613
78+258 _336
26+118 _144
69+96  _165
125+193_318
21+555 _576
502*264_132528
150*23 _3450  
78*917 _71526 
637*45 _28665 
182*671_122122
615*912_560880
13*651 _8463  
87*319 _27753 
807*952_768264
17*926 _15742 
231+90 _321
440*98 _43120 
509*6  _3054  
65+810 _875
822+477_1299
71*491 _34861 
512*677_346624
397+2  _399
95+816 _911
6+936  _942
743*1  _743   
235+439_674
28*582 _16296 
722+75 _797
957*55 _52635 
31+372 _403
657*87 _57159 
487*95 _46265 
642+282_924
548*425_232900
356*56 _19936 
361+290_651
228*89 _20292 
678*24 _16272 
279*64 _17856 
11*30  _330   
708+717_1425
198*71 _14058 
801+891_1692
76*97  _7372  
366+65 _431
127*85 _10795 
279+872_1151
9+843  _852
858+40 _898
613*60 _36780 
34*112 _3808  
991*88 _87208 
361*121_43681 
6+511  _517
22+978 _1000
106+799_905
68+158 _226
20+72  _92
924+60 _984
699*39 _27261 
65+938 _1003
587*53 _31111 
871*57 _49647 
13+441 _454
532*526_279832
45*61  _2745  
45*132 _5940  
648*70 _45360 
83+164 _247
1+826  _827
163*77 _12551 
40*675 _27000 
832*83 _69056 
29*901 _26129 
544*9  _4896  
8*850  _6800  
667*179_119393
271+997_1268
156+92 _248
399+431_830
10*123 _1230  
613*80 _49040 
188*859_161492
332+712_1044
619+102_721
949*57 _54093 
548*211_115628
81*270 _21870 
159*149_23691 
0*334  _0     
0+123  _123
598*4  _2392  
181+19 _200
56+976 _1032
219+42 _261
33+26  _59
107*144_15408 
402*1  _402   
665+100_765
315+278_593
164*565_92660 
131*824_107944
610+686_1296
98*366 _35868 
460+31 _491
72*18  _1296  
699*60 _41940 
52*350 _18200 
7+645  _652
644+218_862
995*709_705455
66+695 _761
916+838_1754
545+848_1393
444*3  _1332  
666+850_1516
82*76  _6232  
719*13 _9347  
49+838 _887
784*210_164640
54+628 _682
60*295 _17700 
19*828 _15732 
14+234 _248
42+16  _58
10*482 _4820  
3+212  _215
901+90 _991
626+0  _626
67*665 _44555 
58+900 _958
325+455_780
35*733 _25655 
64+962 _1026
962*118_113516
38*335 _12730 
741+567_1308
444+4  _448
607+36 _643
484+24 _508
855+84 _939
938+460_1398
30+61  _91
96+445 _541
16+948 _964
22+595 _617
337+99 _436
934+257_1191
124*87 _10788 
241+32 _273
553*23 _12719 
691+67 _758
314*94 _29516 
42+606 _648
66+943 _1009
450*19 _8550  
153*994_152082
32+575 _607
281*41 _11521 
129*707_91203 
91*385 _35035 
865*46 _39790 
919*370_340030
82*46  _3772  
616*7  _4312  
0+660  _660
190*698_132620
74+146 _220
479*299_143221
6*449  _2694  
816*3  _2448  
358*748_267784
279+58 _337
86+447 _533
0*582  _0     
606+506_1112
869+2  _871
711+84 _795
29*17  _493   
77+287 _364
393*343_134799
614+253_867
888*486_431568
844+49 _893
922+500_1422
391*721_281911
50*251 _12550 
3*946  _2838  
944*85 _80240 
157+63 _220
69*115 _7935  
41*750 _30750 
262*838_219556
852+754_1606
614+35 _649
396*381_150876
789*905_714045
8*924  _7392  
426*339_144414
128+224_352
474+73 _547
37+617 _654
956+27 _983
52+237 _289
3+178  _181
894*233_208302
906+19 _925
20*520 _10400 
490+6  _496
79+848 _927
497*50 _24850 
862*10 _8620  
33*878 _28974 
148*623_92204 
422+199_621
658*72 _47376 
123*875_107625
916+88 _1004
60+234 _294
88+921 _1009
367*274_100558
4+742  _746
904+929_1833
651*254_165354
472*97 _45784 
642+2  _644
48*969 _46512 
530*24 _12720 
7*825  _5775  
219+823_1042
733+77 _810
658*128_84224 
584*76 _44384 
21*98  _2058  
39+412 _451
56+535 _591
355*61 _21655 
507+554_1061
29*677 _19633 
303+640_943
599*97 _58103 
486+92 _578
89+240 _329
0*449  _0     
56+422 _478
498*933_464634
33*399 _13167 
9+675  _684
44+300 _344
960+4  _964
278*50 _13900 
7+284  _291
423*141_59643 
879*61 _53619 
59+228 _287
33*280 _9240  
142*25 _3550  
433*77 _33341 
171+42 _213
59+20  _79
471*126_59346 
524*637_333788
16*307 _4912  
79*511 _40369 
80+200 _280
79+339 _418
77*582 _44814 
42*791 _33222 
3*129  _387   
119+310_429
84*315 _26460 
157+61 _218
58+302 _360
239+6  _245
786*604_474744
803+12 _815
904+43 _947
518*41 _21238 
238+24 _262
33+955 _988
458*92 _42136 
160*53 _8480  
37+568 _605
806+45 _851
67*553 _37051 
155*912_141360
451*801_361251
87+728 _815
131*937_122747
24+417 _441
370+562_932
818*619_506342
58*890 _51620 
489+357_846
403+184_587
28*299 _8372  
172*307_52804 
7+422  _429
87+47  _134
448+736_1184
3*440  _1320  
12*110 _1320  
866+78 _944
643+43 _686
974+287_1261
348+556_904
864+446_1310
390*572_223080
347+686_1033
194+68 _262
437+53 _490
953+48 _1001
56+156 _212
9+365  _374
156*512_79872 
869*158_137302
508*28 _14224 
81*726 _58806 
91*263 _23933 
2+395  _397
179+635_814
354*1  _354   
144*245_35280 
487*790_384730
39+108 _147
43+31  _74
380*82 _31160 
500*90 _45000 
853+394_1247
40*391 _15640 
59+37  _96
321*26 _8346  
474+43 _517
879*135_118665
851*163_138713
239*82 _19598 
15*18  _270   
688+639_1327
92*589 _54188 
2*809  _1618  
279+12 _291
30+825 _855
357*982_350574
792+155_947
89*598 _53222 
122+33 _155
41+764 _805
715+193_908
675+430_1105
98*212 _20776 
395+706_1101
485*898_435530
952+1  _953
129+31 _160
397*803_318791
98+229 _327
328*383_125624
498*302_150396
69+73  _142
720+37 _757
747*4  _2988  
301+3  _304
79+502 _581
35+541 _576
60+338 _398
149+2  _151
81*766 _62046 
749*80 _59920 
550+264_814
94+580 _674
566*17 _9622  
38+261 _299
17+355 _372
38+194 _232
729+6  _735
189*32 _6048  
37+323 _360
897+719_1616
7+779  _786
53*517 _27401 
77*341 _26257 
7*717  _5019  
76+29  _105
959*536_514024
449+776_1225
62*13  _806   
61*41  _2501  
35+258 _293
67+299 _366
378*80 _30240 
878+18 _896
834+58 _892
57+57  _114
337+991_1328
902+107_1009
437*78 _34086 
0*521  _0     
45*59  _2655  
23*919 _21137 
246+642_888
647*480_310560
300*599_179700
196+53 _249
58+487 _545
470*47 _22090 
271*41 _11111 
265*507_134355
556*875_486500
745*25 _18625 
201*555_111555
33*810 _26730 
465+648_1113
61+804 _865
70*116 _8120  
711*435_309285
89*60  _5340  
80*45  _3600  
16+904 _920
923*549_506727
349+79 _428
53+236 _289
343+581_924
415+34 _449
983*7  _6881  
612*61 _37332 
9+576  _585
572+857_1429
325+911_1236
736+131_867
816+362_1178
548*99 _54252 
44+760 _804
83+661 _744
366+789_1155
451*685_308935
82*509 _41738 
978+97 _1075
256+752_1008
335+379_714
41+79  _120
102*666_67932 
828*45 _37260 
83*39  _3237  
68+761 _829
414+90 _504
486+29 _515
897*911_817167
730+1  _731
81+240 _321
931+74 _1005
24*569 _13656 
472*684_322848
95+330 _425
311+399_710
418+75 _493
708+826_1534
269+80 _349
212+0  _212
899*79 _71021 
58*187 _10846 
174*84 _14616 
90*96  _8640  
704+31 _735
313+447_760
829+63 _892
607*804_488028
69*52  _3588  
95+14  _109
534*143_76362 
51+668 _719
23+628 _651
928+133_1061
67*487 _32629 
749*866_648634
97*589 _57133 
486+435_921
852+150_1002
923+115_1038
71+358 _429
74+491 _565
475+53 _528
876*925_810300
31*602 _18662 
475*24 _11400 
544*68 _36992 
406*625_253750
490+35 _525
149+630_779
467+56 _523
483+63 _546
450*63 _28350 
11*233 _2563  
18*203 _3654  
74+25  _99
30*121 _3630  
34+656 _690
911*395_359845
89+376 _465
534*954_509436
258+19 _277
422*685_289070
230+781_1011
444+98 _542
996+177_1173
20*311 _6220  
146*23 _3358  
76+40  _116
487+48 _535
889*62 _55118 
534+1  _535
91+266 _357
877*170_149090
102*31 _3162  
238*73 _17374 
620+25 _645
855*404_345420
150*20 _3000  
156*306_47736 
53+69  _122
18+501 _519
748+9  _757
359*509_182731
855+43 _898
57*148 _8436  
574*515_295610
677*79 _53483 
44+57  _101
10+99  _109
1+928  _929
664*787_522568
857+57 _914
924*3  _2772  
62+385 _447
935*94 _87890 
85+189 _274
836+6  _842
442+99 _541
432+5  _437
98+601 _699
712*0  _0     
607*70 _42490 
925*650_601250
342+904_1246
821+525_1346
26*862 _22412 
87+469 _556
26*758 _19708 
810+733_1543
419*985_412715
962*557_535834
676*0  _0     
71+105 _176
83+758 _841
37+979 _1016
94+440 _534
22*853 _18766 
855*854_730170
128+54 _182
765+699_1464
956*94 _89864 
661+217_878
657*432_283824
35*28  _980   
519+88 _607
901+45 _946
131*95 _12445 
337*1  _337   
219*51 _11169 
76+248 _324
389+4  _393
9*660  _5940  
431*11 _4741  
692*1  _692   
67*290 _19430 
208*913_189904
680+882_1562
92*551 _50692 
500+961_1461
716+678_1394
881*5  _4405  
462+42 _504
72+759 _831
926*481_445406
209+17 _226
866+218_1084
93*447 _41571 
59*288 _16992 
82*612 _50184 
862*399_343938
966+76 _1042
72*43  _3096  
127*11 _1397  
382+942_1324
901+982_1883
428*17 _7276  
11+751 _762
704*739_520256
817*274_223858
79*591 _46689 
241*160_38560 
334*49 _16366 
9*412  _3708  
13+94  _107
526*20 _10520 
4*308  _1232  
76*998 _75848 
646+8  _654
705+23 _728
76+662 _738
336+43 _379
0*806  _0     
85+957 _1042
940*70 _65800 
14+776 _790
221*3  _663   
0*798  _0     
919+293_1212
696+213_909
470*495_232650
259*86 _22274 
8*227  _1816  
374*35 _13090 
33+281 _314
2*777  _1554  
429+661_1090
89*82  _7298  
312+30 _342
95*34  _3230  
128*87 _11136 
95+401 _496
487+77 _564
902+96 _998
112+102_214
359+68 _427
847+15 _862
833+242_1075
15*573 _8595  
427+43 _470
7+133  _140
790*873_689670
4*279  _1116  
606+78 _684
403*390_157170
745+88 _833
90+884 _974
995*24 _23880 
371+50 _421
9*901  _8109  
759+788_1547
95*588 _55860 
87+727 _814
248*424_105152
57+223 _280
718+475_1193
771+68 _839
94*663 _62322 
72+499 _571
549+29 _578
67*724 _48508 
479*896_429184
60+90  _150
587+42 _629
143*360_51480 
66+477 _543
60*321 _19260 
165*985_162525
903+79 _982
407*898_365486
513+15 _528
598*714_426972
43*668 _28724 
574+110_684
490*66 _32340 
71*343 _24353 
75*734 _55050 
789+96 _885
99*130 _12870 
108+465_573
5+598  _603
593*57 _33801 
868+677_1545
412*77 _31724 
860+68 _928
362+424_786
291*29 _8439  
19*12  _228   
1+287  _288
929*8  _7432  
186*71 _13206 
486+70 _556
369+37 _406
782+80 _862
724+87 _811
50+774 _824
434*575_249550
98*35  _3430  
985+346_1331
31*169 _5239  
28+695 _723
628+74 _702
611*917_560287
417*796_331932
31+789 _820
54*957 _51678 
727+411_1138
70*473 _33110 
72+400 _472
346*8  _2768  
16*678 _10848 
97+761 _858
898+91 _989
14+676 _690
822*58 _47676 
569*124_70556 
37+792 _829
83*787 _65321 
138*378_52164 
16*55  _880   
98+126 _224
185*152_28120 
89+865 _954
237*62 _14694 
453+926_1379
52*727 _37804 
644+98 _742
1+311  _312
74*370 _27380 
573*794_454962
24+227 _251
121+81 _202
3+321  _324
248+652_900
426*617_262842
829+366_1195
718+71 _789
589*892_525388
437*962_420394
480+721_1201
94*296 _27824 
34+66  _100
23*11  _253   
355*675_239625
5*198  _990   
103+622_725
3+988  _991
49*703 _34447 
904*754_681616
947*82 _77654 
491+153_644
262+961_1223
8+836  _844
13*892 _11596 
308+669_977
849*93 _78957 
458*396_181368
29*83  _2407  
44+71  _115
68+470 _538
74+55  _129
16+747 _763
57+474 _531
420*37 _15540 
329*9  _2961  
66+458 _524
29+628 _657
484+3  _487
443*24 _10632 
44+80  _124
195*86 _16770 
355+320_675
150*75 _11250 
599*39 _23361 
4+154  _158
6+386  _392
716+49 _765
4+290  _294
405*452_183060
984+39 _1023
6*958  _5748  
47+789 _836
7+679  _686
6*682  _4092  
59+449 _508
666+606_1272
0+309  _309
914+560_1474
251+55 _306
931+681_1612
965+608_1573
69+313 _382
696+931_1627
372+659_1031
9*383  _3447  
690+3  _693
565+51 _616
557+29 _586
72*581 _41832 
936*18 _16848 
56+17  _73
819*41 _33579 
910+223_1133
740*38 _28120 
180+877_1057
6+810  _816
31+983 _1014
307+0  _307
83+929 _1012
238+57 _295
364*8  _2912  
609*58 _35322 
764*50 _38200 
574*47 _26978 
258*822_212076
604*94 _56776 
569+80 _649
58*49  _2842  
454+422_876
667*634_422878
732*53 _38796 
7+466  _473
6+998  _1004
84*780 _65520 
734+464_1198
656*14 _9184  
7+443  _450
71*721 _51191 
430+58 _488
12+345 _357
808+29 _837
68*16  _1088  
14+946 _960
822*886_728292
66+480 _546
14+183 _197
713+71 _784
966+22 _988
122*99 _12078 
70*206 _14420 
48*863 _41424 
63*722 _45486 
418*53 _22154 
216*86 _18576 
56+457 _513
698+0  _698
765+39 _804
77+646 _723
155*981_152055
11*894 _9834  
701+430_1131
24*39  _936   
497*67 _33299 
34+224 _258
321*10 _3210  
932+758_1690
885*140_123900
92*240 _22080 
306*945_289170
829*8  _6632  
3+170  _173
904+14 _918
113*33 _3729  
323+80 _403
591+368_959
574*309_177366
987*27 _26649 
19*959 _18221 
193+902_1095
629+92 _721
65+22  _87
701*904_633704
7*121  _847   
84*888 _74592 
56*498 _27888 
634+37 _671
65*233 _15145 
55*740 _40700 
65+203 _268
137+182_319
57+192 _249
577*902_520454
15+532 _547
2+366  _368
628*32 _20096 
767+636_1403
554*904_500816
611+46 _657
242*85 _20570 
46*699 _32154 
783*9  _7047  
77+951 _1028
80*788 _63040 
57*21  _1197  
635*307_194945
118+127_245
932+89 _1021
945*516_487620
71+46  _117
523*97 _50731 
524+4  _528
183*733_134139
26*365 _9490  
854+400_1254
987*7  _6909  
723*24 _17352 
91*193 _17563 
220*188_41360 
360+7  _367
28+405 _433
68+72  _140
384+759_1143
94+123 _217
27*690 _18630 
647*518_335146
548*428_234544
786*11 _8646  
344*50 _17200 
610*45 _27450 
3+708  _711
29+435 _464
359+78 _437
878*72 _63216 
979+15 _994
2+194  _196
906*379_343374
339*56 _18984 
810+95 _905
984+70 _1054
188+9  _197
55+154 _209
907+98 _1005
375*32 _12000 
125+872_997
87*410 _35670 
924+408_1332
60*654 _39240 
639*315_201285
612*880_538560
78+367 _445
72*946 _68112 
542+49 _591
411+717_1128
30*24  _720   
22+827 _849
113+74 _187
163+898_1061
87+526 _613
368+395_763
47*45  _2115  
13*149 _1937  
697+112_809
21*72  _1512  
4+418  _422
928+260_1188
238*481_114478
849*66 _56034 
38*336 _12768 
591+53 _644
842*428_360376
727+46 _773
92+783 _875
172*90 _15480 
95+819 _914
731*790_577490
2*264  _528   
516+287_803
63+837 _900
564*495_279180
23+21  _44
99*259 _25641 
918*58 _53244 
958*277_265366
17*778 _13226 
197+906_1103
652+103_755
75+99  _174
269*941_253129
78+602 _680
762*18 _13716 
16+465 _481
333*487_162171
59*520 _30680 
436+76 _512
695*31 _21545 
283+887_1170
466+391_857
722+739_1461
49*626 _30674 
89+624 _713
184*89 _16376 
43*772 _33196 
49+675 _724
514+80 _594
72*579 _41688 
556*160_88960 
604*41 _24764 
331*87 _28797 
881*353_310993
803*979_786137
973+622_1595
672+91 _763
184+579_763
982+960_1942
288*210_60480 
456+851_1307
733+16 _749
15+599 _614
225+70 _295
194*610_118340
64*18  _1152  
170*937_159290
182+262_444
75+71  _146
79*459 _36261 
76+466 _542
25*408 _10200 
134+28 _162
931*37 _34447 
774+184_958
25*378 _9450  
124*65 _8060  
144+282_426
17*811 _13787 
423+546_969
483*83 _40089 
554*49 _27146 
827*39 _32253 
541+867_1408
340*522_177480
44+72  _116
450*439_197550
45*878 _39510 
364*712_259168
684*5  _3420  
7+209  _216
2*209  _418   
666*153_101898
234+556_790
862+234_1096
61+332 _393
782+739_1521
939+13 _952
832*445_370240
403*921_371163
3*846  _2538  
921*3  _2763  
411+68 _479
964+23 _987
403+321_724
93*438 _40734 
557+81 _638
985+85 _1070
625*199_124375
16+389 _405
85*52  _4420  
923+1  _924
496*13 _6448  
616+80 _696
37*873 _32301 
63*958 _60354 
51+17  _68
84*277 _23268 
935*73 _68255 
8+566  _574
814+27 _841
993*53 _52629 
798+17 _815
229+89 _318
989*47 _46483 
227*36 _8172  
35+115 _150
737*20 _14740 
186+38 _224
4+417  _421
59+509 _568
82+647 _729
646*968_625328
31+515 _546
835+859_1694
415+36 _451
23*578 _13294 
234+10 _244
724*620_448880
81+926 _1007
985*9  _8865  
15+123 _138
621*3  _1863  
390*11 _4290  
924+6  _930
954*327_311958
18*420 _7560  
50*225 _11250 
40+110 _150
687+58 _745
887+687_1574
232+921_1153
44*171 _7524  
63+960 _1023
231*68 _15708 
496+527_1023
938+982_1920
270*85 _22950 
884*776_685984
80+912 _992
326*1  _326   
17+38  _55
839*536_449704
536*884_473824
759+67 _826
653*963_628839
109*920_100280
5*251  _1255  
5*601  _3005  
25*659 _16475 
62*152 _9424  
500+200_700
89*577 _51353 
90*332 _29880 
704+13 _717
744+31 _775
833+562_1395
77+376 _453
41+714 _755
824*62 _51088 
568*16 _9088  
98*561 _54978 
983+13 _996
81+71  _152
21*986 _20706 
89+751 _840
994*51 _50694 
1+920  _921
549+53 _602
112+82 _194
406+54 _460
73+990 _1063
344*407_140008
642+15 _657
292*64 _18688 
72+378 _450
225+9  _234
902*74 _66748 
252*32 _8064  
631*650_410150
113+827_940
164*315_51660 
241+51 _292
223+576_799
52*264 _13728 
10+10  _20
604+763_1367
248+976_1224
5+916  _921
31*520 _16120 
71*436 _30956 
22*377 _8294  
448*7  _3136  
739*299_220961
287+175_462
68+519 _587
387*55 _21285 
7+441  _448
203+85 _288
608*274_166592
532*5  _2660  
91+163 _254
800+872_1672
993*24 _23832 
946+526_1472
331*7  _2317  
237*90 _21330 
590+954_1544
78*936 _73008 
21*863 _18123 
9+201  _210
151+4  _155
852*520_443040
23+243 _266
938+66 _1004
49*276 _13524 
88+866 _954
75*28  _2100  
22*144 _3168  
69+698 _767
694*946_656524
543*0  _0     
46+409 _455
990+64 _1054
169*385_65065 
49+12  _61
235+27 _262
2+476  _478
145*3  _435   
16+63  _79
132+622_754
848+21 _869
97+393 _490
53*14  _742   
409+30 _439
301*43 _12943 
65+64  _129
807*440_355080
349+98 _447
369*54 _19926 
66*395 _26070 
468*427_199836
532+521_1053
750+8  _758
72*901 _64872 
19*378 _7182  
162+600_762
677+61 _738
853+392_1245
64+710 _774
472*36 _16992 
28*414 _11592 
7+260  _267
137*29 _3973  
660*5  _3300  
579+6  _585
640*427_273280
810*869_703890
417+775_1192
84*259 _21756 
88+594 _682
11*87  _957   
34+745 _779
687*915_628605
27*176 _4752  
90*230 _20700 
15+327 _342
768*2  _1536  
31*480 _14880 
782+296_1078
63*893 _56259 
244*440_107360
217*23 _4991  
118*78 _9204  
6*665  _3990  
603*322_194166
91*956 _86996 
0*520  _0     
366*63 _23058 
92*845 _77740 
756+703_1459
10+389 _399
4+479  _483
245*55 _13475 
3*235  _705   
261*76 _19836 
6*960  _5760  
782*706_552092
99+354 _453
765+541_1306
995*61 _60695 
50+955 _1005
24*704 _16896 
226*64 _14464 
293*24 _7032  
4*450  _1800  
318+132_450
6+963  _969
456+58 _514
796*13 _10348 
29+870 _899
263+1  _264
66*303 _19998 
344+3  _347
840+82 _922
5*269  _1345  
625*99 _61875 
61*635 _38735 
95*601 _57095 
72*323 _23256 
17+85  _102
988+509_1497
3+300  _303
70*737 _51590 
51+822 _873
6+469  _475
809*160_129440
468*1  _468   
43+117 _160
67+586 _653
196+446_642
97*44  _4268  
981+82 _1063
749+18 _767
464+309_773
746+209_955
25+810 _835
788*70 _55160 
436*96 _41856 
462*52 _24024 
67*18  _1206  
155*41 _6355  
99*516 _51084 
75*869 _65175 
851*70 _59570 
5+550  _555
858*254_217932
394+17 _411
65+469 _534
0+262  _262
144+97 _241
16+50  _66
9*209  _1881  
587+21 _608
907*8  _7256  
77+571 _648
36+24  _60
644*72 _46368 
929*2  _1858  
502*141_70782 
10+628 _638
8*618  _4944  
877+418_1295
845*817_690365
523+53 _576
664+53 _717
45+148 _193
706*32 _22592 
828+136_964
888+86 _974
451*0  _0     
194*591_114654
325+502_827
28+518 _546
665+60 _725
248+8  _256
359+242_601
6*606  _3636  
1*142  _142   
531+253_784
844+23 _867
46+731 _777
77+443 _520
38+470 _508
815*47 _38305 
368+338_706
883*8  _7064  
88+348 _436
609+38 _647
51*91  _4641  
514+928_1442
92*440 _40480 
192*468_89856 
873*646_563958
818*35 _28630 
73+951 _1024
43*261 _11223 
92*353 _32476 
1*221  _221   
10*53  _530   
39*940 _36660 
54+747 _801
13+878 _891
1+477  _478
300+37 _337
1*318  _318   
780*620_483600
171+914_1085
64+176 _240
34+369 _403
995*57 _56715 
952+44 _996
938*29 _27202 
820+372_1192
16+22  _38
18*797 _14346 
438+81 _519
5*863  _4315  
72+349 _421
253*86 _21758 
859*963_827217
690*409_282210
741*739_547599
53*720 _38160 
3+222  _225
654+34 _688
437*77 _33649 
524+992_1516
60+265 _325
29*595 _17255 
21+322 _343
938*476_446488
835*255_212925
141+7  _148
492*5  _2460  
131*670_87770 
353+14 _367
69*481 _33189 
148+26 _174
371+37 _408
91+915 _1006
624+8  _632
906*99 _89694 
106+267_373
9+802  _811
74+567 _641
527+62 _589
211+904_1115
13+174 _187
922*620_571640
809*6  _4854  
835*575_480125
637+36 _673
0*152  _0     
334*221_73814 
71+43  _114
612+380_992
975+91 _1066
847+229_1076
990+499_1489
713+975_1688
13+96  _109
556*163_90628 
755+70 _825
107*57 _6099  
202*449_90698 
677+325_1002
677+910_1587
94+833 _927
168*873_146664
66*76  _5016  
455*73 _33215 
15*90  _1350  
832*348_289536
643+230_873
98*140 _13720 
78+915 _993
674+6  _680
805*809_651245
220*81 _17820 
7*689  _4823  
77*415 _31955 
57+560 _617
50+626 _676
158+347_505
18*929 _16722 
7*879  _6153  
352+34 _386
8*687  _5496  
688*87 _59856 
997+655_1652
2+800  _802
3*177  _531   
582*2  _1164  
385+542_927
2+646  _648
146*988_144248
705+32 _737
26+929 _955
10+707 _717
191*34 _6494  
84+722 _806
96*611 _58656 
374+47 _421
685+40 _725
27*42  _1134  
29+46  _75
273*54 _14742 
332*278_92296 
146+1  _147
81*516 _41796 
216*457_98712 
60*410 _24600 
704+94 _798
87*971 _84477 
504+37 _541
2*831  _1662  
465+59 _524
692*34 _23528 
657*462_303534
514+348_862
109+870_979
3*389  _1167  
21*113 _2373  
20+92  _112
46+283 _329
230+68 _298
546*66 _36036 
585*0  _0     
32*50  _1600  
812*20 _16240 
0+374  _374
396+971_1367
231*47 _10857 
687+29 _716
89+597 _686
56*894 _50064 
264*25 _6600  
492*212_104304
716+495_1211
93*120 _11160 
342*73 _24966 
12*955 _11460 
74*26  _1924  
18+20  _38
11+743 _754
859+44 _903
147*454_66738 
1+454  _455
69+734 _803
986+257_1243
274+54 _328
303+875_1178
297+25 _322
37+315 _352
142*990_140580
9+813  _822
988*65 _64220 
995*658_654710
80*626 _50080 
997+5  _1002
717*657_471069
66+398 _464
44*164 _7216  
11+434 _445
42+37  _79
965+738_1703
555*68 _37740 
486*988_480168
989*246_243294
21+599 _620
188*439_82532 
398+348_746
556+999_1555
885*453_400905
0*371  _0     
810+670_1480
459*5  _2295  
41+930 _971
106+604_710
53+934 _987
80+885 _965
567*56 _31752 
2+369  _371
483+402_885
877+85 _962
681+913_1594
366*223_81618 
86*55  _4730  
38+919 _957
749+330_1079
37*111 _4107  
924*645_595980
223*654_145842
57+98  _155
17+268 _285
1+509  _510
17*59  _1003  
445*4  _1780  
431+926_1357
42+286 _328
785*44 _34540 
26*58  _1508  
766*42 _32172 
52*992 _51584 
812*68 _55216 
39*985 _38415 
172*54 _9288  
510*99 _50490 
147+695_842
23*282 _6486  
576*0  _0     
88*196 _17248 
841+316_1157
96*280 _26880 
118+473_591
20*950 _19000 
11+538 _549
460+961_1421
909*279_253611
6+420  _426
572+142_714
90*40  _3600  
568+73 _641
30*401 _12030 
382*46 _17572 
567+70 _637
67*269 _18023 
588*941_553308
900+46 _946
67+653 _720
262+91 _353
791+1  _792
769*93 _71517 
44*985 _43340 
269*7  _1883  
94+68  _162
620+352_972
117+745_862
225*581_130725
802*8  _6416  
43+687 _730
789+7  _796
750+265_1015
1+251  _252
88+215 _303
1*515  _515   
266+36 _302
361+931_1292
93+543 _636
526+2  _528
78+831 _909
95+182 _277
802+44 _846
985+49 _1034
563*45 _25335 
44+455 _499
806+569_1375
829*1  _829   
28*581 _16268 
863+44 _907
71*579 _41109 
735+1  _736
42+68  _110
79+718 _797
136+22 _158
19+845 _864
810+96 _906
10*338 _3380  
524+26 _550
