32-0   _32  
13-81  _-68 
493-68 _425 
10-779 _-769
666-5  _661 
402-920_-518
9-895  _-886
368-667_-299
7-714  _-707
221-46 _175 
273-0  _273 
391-191_200 
84-826 _-742
82-238 _-156
6-139  _-133
331-42 _289 
72-649 _-577
176-104_72  
86-865 _-779
12-666 _-654
383-86 _297 
736-36 _700 
816-48 _768 
42-352 _-310
224-13 _211 
57-469 _-412
104-94 _10  
400-136_264 
1-458  _-457
403-6  _397 
505-3  _502 
25-86  _-61 
7-285  _-278
446-300_146 
922-159_763 
71-887 _-816
990-62 _928 
67-354 _-287
747-95 _652 
641-643_-2  
75-938 _-863
288-570_-282
61-60  _1   
637-6  _631 
65-104 _-39 
36-685 _-649
281-361_-80 
61-492 _-431
309-9  _300 
320-930_-610
188-625_-437
62-754 _-692
540-505_35  
9-595  _-586
433-64 _369 
2-811  _-809
87-607 _-520
74-673 _-599
677-174_503 
739-791_-52 
85-658 _-573
177-32 _145 
369-549_-180
535-72 _463 
79-22  _57  
390-753_-363
68-736 _-668
940-273_667 
375-223_152 
514-886_-372
971-98 _873 
231-27 _204 
51-44  _7   
929-715_214 
5-737  _-732
239-18 _221 
664-389_275 
459-42 _417 
5-318  _-313
245-69 _176 
29-553 _-524
40-733 _-693
197-52 _145 
11-328 _-317
45-29  _16  
726-61 _665 
3-573  _-570
2-139  _-137
75-283 _-208
193-154_39  
484-88 _396 
95-774 _-679
431-10 _421 
283-2  _281 
492-42 _450 
68-533 _-465
36-249 _-213
633-70 _563 
942-679_263 
874-82 _792 
27-106 _-79 
734-130_604 
636-66 _570 
75-518 _-443
72-99  _-27 
663-85 _578 
502-115_387 
33-695 _-662
503-48 _455 
963-1  _962 
694-8  _686 
982-192_790 
612-72 _540 
400-747_-347
756-18 _738 
132-81 _51  
793-1  _792 
1-219  _-218
89-48  _41  
626-2  _624 
483-78 _405 
14-124 _-110
225-726_-501
48-793 _-745
5-836  _-831
492-97 _395 
143-3  _140 
6-284  _-278
96-73  _23  
631-3  _628 
153-1  _152 
20-438 _-418
479-49 _430 
969-98 _871 
433-33 _400 
474-52 _422 
401-998_-597
854-554_300 
739-3  _736 
56-856 _-800
415-398_17  
952-33 _919 
972-0  _972 
609-33 _576 
709-454_255 
290-1  _289 
216-530_-314
644-761_-117
365-380_-15 
417-71 _346 
298-85 _213 
18-16  _2   
9-711  _-702
5-270  _-265
976-524_452 
89-585 _-496
397-31 _366 
53-28  _25  
791-220_571 
578-420_158 
592-99 _493 
284-4  _280 
47-483 _-436
171-96 _75  
997-142_855 
71-71  _0   
785-13 _772 
801-456_345 
64-56  _8   
774-62 _712 
671-59 _612 
36-45  _-9  
85-638 _-553
299-297_2   
855-85 _770 
712-9  _703 
86-944 _-858
797-855_-58 
683-3  _680 
675-64 _611 
138-332_-194
66-663 _-597
62-196 _-134
5-143  _-138
635-41 _594 
573-633_-60 
281-45 _236 
60-92  _-32 
25-301 _-276
16-517 _-501
15-81  _-66 
43-577 _-534
816-54 _762 
702-4  _698 
39-959 _-920
753-925_-172
221-72 _149 
43-23  _20  
93-136 _-43 
16-509 _-493
589-733_-144
325-841_-516
3-446  _-443
23-47  _-24 
94-579 _-485
789-5  _784 
7-670  _-663
46-434 _-388
55-909 _-854
85-808 _-723
64-170 _-106
440-74 _366 
4-945  _-941
850-900_-50 
457-217_240 
737-80 _657 
619-6  _613 
691-53 _638 
89-305 _-216
46-977 _-931
60-801 _-741
484-326_158 
75-249 _-174
9-854  _-845
149-525_-376
160-476_-316
47-615 _-568
124-564_-440
50-699 _-649
99-222 _-123
8-558  _-550
750-3  _747 
355-649_-294
450-559_-109
868-9  _859 
162-369_-207
336-584_-248
95-736 _-641
36-824 _-788
222-39 _183 
88-932 _-844
6-797  _-791
21-809 _-788
8-503  _-495
31-57  _-26 
27-669 _-642
843-3  _840 
223-614_-391
449-55 _394 
96-804 _-708
612-90 _522 
311-4  _307 
431-81 _350 
657-79 _578 
204-784_-580
189-62 _127 
955-99 _856 
175-96 _79  
272-22 _250 
523-395_128 
23-181 _-158
62-522 _-460
77-11  _66  
611-86 _525 
40-421 _-381
58-335 _-277
755-314_441 
592-61 _531 
511-7  _504 
673-80 _593 
282-494_-212
4-723  _-719
415-1  _414 
6-319  _-313
102-65 _37  
711-80 _631 
79-330 _-251
131-684_-553
68-995 _-927
557-8  _549 
881-83 _798 
818-296_522 
652-39 _613 
14-958 _-944
725-27 _698 
772-658_114 
363-48 _315 
772-14 _758 
548-461_87  
498-664_-166
21-557 _-536
3-149  _-146
12-588 _-576
48-835 _-787
54-112 _-58 
694-9  _685 
57-977 _-920
364-70 _294 
779-43 _736 
54-201 _-147
185-39 _146 
334-79 _255 
735-146_589 
392-997_-605
14-856 _-842
875-344_531 
409-87 _322 
963-52 _911 
3-700  _-697
50-580 _-530
769-349_420 
379-730_-351
689-33 _656 
33-497 _-464
77-657 _-580
13-627 _-614
40-242 _-202
67-127 _-60 
267-713_-446
306-66 _240 
2-243  _-241
0-651  _-651
80-138 _-58 
671-147_524 
905-407_498 
69-916 _-847
943-39 _904 
341-70 _271 
536-732_-196
717-180_537 
426-307_119 
83-463 _-380
469-808_-339
106-798_-692
17-751 _-734
327-77 _250 
7-334  _-327
936-57 _879 
12-891 _-879
675-39 _636 
90-858 _-768
131-844_-713
94-670 _-576
360-0  _360 
115-404_-289
740-827_-87 
304-5  _299 
135-63 _72  
426-638_-212
431-17 _414 
557-97 _460 
726-752_-26 
10-956 _-946
26-911 _-885
517-64 _453 
128-10 _118 
513-930_-417
227-44 _183 
552-445_107 
118-11 _107 
903-24 _879 
529-86 _443 
48-776 _-728
352-846_-494
50-569 _-519
258-18 _240 
373-12 _361 
717-285_432 
65-811 _-746
975-42 _933 
261-8  _253 
630-22 _608 
31-265 _-234
317-18 _299 
808-0  _808 
270-51 _219 
64-665 _-601
601-55 _546 
902-777_125 
68-789 _-721
517-694_-177
95-478 _-383
925-545_380 
227-68 _159 
67-196 _-129
153-686_-533
460-3  _457 
97-719 _-622
30-324 _-294
296-58 _238 
85-593 _-508
701-4  _697 
605-94 _511 
510-64 _446 
557-43 _514 
392-85 _307 
608-741_-133
401-428_-27 
753-124_629 
646-244_402 
65-24  _41  
586-69 _517 
17-492 _-475
582-19 _563 
216-16 _200 
846-70 _776 
980-593_387 
415-697_-282
381-417_-36 
43-208 _-165
576-52 _524 
407-896_-489
19-12  _7   
584-802_-218
48-411 _-363
68-394 _-326
64-185 _-121
925-265_660 
3-314  _-311
15-931 _-916
49-596 _-547
80-425 _-345
24-122 _-98 
39-923 _-884
651-667_-16 
762-770_-8  
785-33 _752 
445-628_-183
856-893_-37 
24-82  _-58 
16-581 _-565
219-88 _131 
846-34 _812 
267-67 _200 
706-63 _643 
982-70 _912 
44-892 _-848
21-284 _-263
705-211_494 
165-57 _108 
406-21 _385 
93-434 _-341
283-25 _258 
674-34 _640 
70-603 _-533
2-800  _-798
636-57 _579 
42-240 _-198
911-27 _884 
663-31 _632 
644-500_144 
267-69 _198 
9-264  _-255
95-34  _61  
333-92 _241 
973-6  _967 
95-567 _-472
553-645_-92 
52-579 _-527
18-94  _-76 
21-657 _-636
734-440_294 
30-247 _-217
723-299_424 
253-292_-39 
551-27 _524 
398-20 _378 
24-806 _-782
751-72 _679 
89-77  _12  
558-161_397 
440-312_128 
309-6  _303 
41-27  _14  
782-662_120 
225-319_-94 
855-7  _848 
20-787 _-767
19-457 _-438
732-693_39  
787-66 _721 
68-386 _-318
299-789_-490
818-905_-87 
109-168_-59 
75-484 _-409
716-82 _634 
6-487  _-481
936-795_141 
217-55 _162 
672-484_188 
15-104 _-89 
22-34  _-12 
77-491 _-414
755-87 _668 
54-282 _-228
96-259 _-163
1-805  _-804
872-33 _839 
667-512_155 
946-17 _929 
80-91  _-11 
359-383_-24 
155-48 _107 
745-285_460 
250-764_-514
20-866 _-846
134-62 _72  
655-882_-227
77-926 _-849
42-694 _-652
749-165_584 
846-10 _836 
649-759_-110
812-668_144 
10-93  _-83 
41-356 _-315
58-720 _-662
630-1  _629 
357-62 _295 
247-609_-362
558-317_241 
8-453  _-445
844-81 _763 
607-26 _581 
73-230 _-157
53-92  _-39 
558-79 _479 
831-14 _817 
98-201 _-103
212-5  _207 
170-75 _95  
318-4  _314 
492-89 _403 
92-112 _-20 
91-369 _-278
176-693_-517
99-96  _3   
67-25  _42  
21-855 _-834
476-698_-222
66-820 _-754
497-337_160 
897-3  _894 
79-770 _-691
94-419 _-325
285-6  _279 
41-529 _-488
241-976_-735
60-870 _-810
915-96 _819 
62-892 _-830
855-521_334 
92-721 _-629
68-310 _-242
44-998 _-954
470-58 _412 
553-245_308 
20-974 _-954
62-50  _12  
22-513 _-491
229-629_-400
52-116 _-64 
16-125 _-109
57-592 _-535
380-344_36  
424-704_-280
973-908_65  
34-268 _-234
651-772_-121
43-676 _-633
434-38 _396 
897-14 _883 
841-938_-97 
979-28 _951 
5-973  _-968
237-88 _149 
766-5  _761 
907-73 _834 
889-85 _804 
794-517_277 
18-11  _7   
521-66 _455 
42-963 _-921
703-373_330 
904-527_377 
9-725  _-716
549-97 _452 
321-47 _274 
199-41 _158 
719-697_22  
35-614 _-579
31-659 _-628
33-749 _-716
815-661_154 
819-689_130 
769-14 _755 
64-47  _17  
146-21 _125 
135-997_-862
252-45 _207 
694-299_395 
971-317_654 
697-346_351 
453-59 _394 
56-855 _-799
29-555 _-526
790-21 _769 
907-57 _850 
819-241_578 
61-576 _-515
795-73 _722 
215-82 _133 
1-668  _-667
51-46  _5   
1-338  _-337
26-92  _-66 
639-381_258 
612-50 _562 
391-72 _319 
244-901_-657
23-480 _-457
536-59 _477 
908-44 _864 
970-63 _907 
89-236 _-147
86-678 _-592
591-9  _582 
304-59 _245 
913-38 _875 
887-850_37  
610-55 _555 
300-92 _208 
24-152 _-128
917-60 _857 
84-543 _-459
283-815_-532
7-883  _-876
938-727_211 
57-398 _-341
398-19 _379 
331-398_-67 
952-183_769 
752-22 _730 
734-6  _728 
73-18  _55  
629-379_250 
326-487_-161
841-100_741 
743-97 _646 
531-96 _435 
615-83 _532 
96-292 _-196
845-57 _788 
982-516_466 
838-0  _838 
193-940_-747
291-392_-101
174-65 _109 
42-520 _-478
951-26 _925 
550-825_-275
758-821_-63 
93-60  _33  
538-748_-210
56-740 _-684
943-896_47  
21-623 _-602
61-283 _-222
997-455_542 
46-13  _33  
725-176_549 
76-536 _-460
592-946_-354
3-207  _-204
314-698_-384
890-1  _889 
18-838 _-820
740-70 _670 
192-8  _184 
31-850 _-819
72-684 _-612
451-58 _393 
825-68 _757 
743-5  _738 
39-851 _-812
87-719 _-632
52-86  _-34 
85-245 _-160
83-689 _-606
642-736_-94 
25-94  _-69 
730-376_354 
99-633 _-534
8-527  _-519
75-457 _-382
448-35 _413 
604-88 _516 
54-76  _-22 
414-57 _357 
19-14  _5   
90-478 _-388
18-898 _-880
801-531_270 
372-558_-186
97-531 _-434
726-645_81  
46-383 _-337
67-34  _33  
295-59 _236 
44-438 _-394
87-221 _-134
884-99 _785 
2-173  _-171
228-220_8   
8-348  _-340
3-731  _-728
0-593  _-593
61-476 _-415
96-187 _-91 
190-81 _109 
749-89 _660 
77-338 _-261
521-434_87  
844-871_-27 
622-9  _613 
7-211  _-204
814-176_638 
776-75 _701 
91-413 _-322
16-631 _-615
29-248 _-219
299-937_-638
87-19  _68  
209-33 _176 
598-564_34  
226-694_-468
319-986_-667
204-107_97  
55-298 _-243
76-72  _4   
399-723_-324
552-40 _512 
823-205_618 
618-58 _560 
15-187 _-172
634-3  _631 
744-630_114 
652-290_362 
44-459 _-415
25-382 _-357
188-667_-479
2-921  _-919
63-859 _-796
278-829_-551
675-361_314 
81-42  _39  
715-792_-77 
531-85 _446 
43-26  _17  
910-489_421 
407-163_244 
811-422_389 
227-120_107 
807-315_492 
184-17 _167 
360-372_-12 
45-46  _-1  
18-144 _-126
29-149 _-120
29-780 _-751
35-889 _-854
87-890 _-803
26-638 _-612
658-897_-239
614-17 _597 
11-65  _-54 
123-600_-477
67-59  _8   
878-29 _849 
832-4  _828 
477-889_-412
10-326 _-316
286-670_-384
884-64 _820 
77-804 _-727
85-959 _-874
710-7  _703 
95-469 _-374
2-496  _-494
279-639_-360
50-81  _-31 
6-365  _-359
776-0  _776 
81-671 _-590
975-0  _975 
49-407 _-358
449-889_-440
9-920  _-911
11-94  _-83 
26-845 _-819
310-90 _220 
525-55 _470 
1-713  _-712
293-76 _217 
185-7  _178 
32-74  _-42 
875-14 _861 
53-77  _-24 
581-86 _495 
56-713 _-657
278-246_32  
969-41 _928 
29-821 _-792
207-997_-790
200-609_-409
601-0  _601 
471-9  _462 
57-386 _-329
62-422 _-360
18-368 _-350
21-273 _-252
38-653 _-615
895-74 _821 
50-238 _-188
482-9  _473 
260-571_-311
94-881 _-787
807-893_-86 
6-393  _-387
46-446 _-400
454-373_81  
724-597_127 
487-46 _441 
79-185 _-106
544-24 _520 
258-271_-13 
95-238 _-143
976-147_829 
80-40  _40  
849-2  _847 
35-223 _-188
464-29 _435 
636-80 _556 
51-954 _-903
9-671  _-662
74-417 _-343
85-831 _-746
542-89 _453 
231-478_-247
227-217_10  
167-82 _85  
82-237 _-155
86-528 _-442
17-467 _-450
21-662 _-641
30-62  _-32 
919-19 _900 
616-8  _608 
65-408 _-343
54-828 _-774
70-186 _-116
519-529_-10 
641-59 _582 
870-641_229 
419-69 _350 
187-84 _103 
172-201_-29 
82-314 _-232
827-14 _813 
564-66 _498 
526-550_-24 
58-831 _-773
925-89 _836 
100-363_-263
93-630 _-537
522-907_-385
71-238 _-167
962-92 _870 
560-494_66  
5-741  _-736
2-952  _-950
432-976_-544
742-25 _717 
346-95 _251 
73-671 _-598
613-204_409 
47-100 _-53 
98-639 _-541
0-179  _-179
179-69 _110 
80-210 _-130
202-37 _165 
874-161_713 
10-545 _-535
5-849  _-844
5-250  _-245
661-66 _595 
963-106_857 
43-409 _-366
55-223 _-168
142-416_-274
796-44 _752 
5-293  _-288
741-9  _732 
27-227 _-200
93-843 _-750
728-237_491 
938-26 _912 
298-329_-31 
821-81 _740 
89-986 _-897
506-651_-145
55-207 _-152
828-77 _751 
3-890  _-887
480-57 _423 
141-553_-412
597-97 _500 
79-536 _-457
742-17 _725 
11-250 _-239
821-66 _755 
40-411 _-371
99-99  _0   
265-871_-606
10-393 _-383
65-652 _-587
512-81 _431 
303-11 _292 
181-3  _178 
989-3  _986 
696-945_-249
850-73 _777 
80-38  _42  
8-249  _-241
10-385 _-375
21-311 _-290
338-255_83  
84-597 _-513
58-19  _39  
158-75 _83  
758-81 _677 
68-431 _-363
299-63 _236 
493-81 _412 
99-768 _-669
380-173_207 
50-845 _-795
42-241 _-199
65-785 _-720
858-34 _824 
807-920_-113
15-85  _-70 
855-8  _847 
652-37 _615 
520-517_3   
74-503 _-429
595-304_291 
911-39 _872 
49-960 _-911
411-34 _377 
450-79 _371 
981-288_693 
984-854_130 
43-81  _-38 
389-22 _367 
49-906 _-857
114-660_-546
314-855_-541
55-160 _-105
87-885 _-798
11-633 _-622
77-397 _-320
478-98 _380 
106-98 _8   
82-821 _-739
36-964 _-928
524-48 _476 
395-12 _383 
523-933_-410
426-923_-497
909-444_465 
447-6  _441 
189-385_-196
540-546_-6  
81-60  _21  
6-354  _-348
422-171_251 
257-2  _255 
38-503 _-465
667-50 _617 
726-17 _709 
676-417_259 
33-194 _-161
855-65 _790 
90-216 _-126
603-891_-288
52-873 _-821
695-35 _660 
286-71 _215 
46-135 _-89 
469-10 _459 
680-667_13  
49-656 _-607
635-339_296 
796-77 _719 
459-450_9   
5-558  _-553
59-406 _-347
935-25 _910 
265-286_-21 
737-263_474 
97-852 _-755
94-436 _-342
32-677 _-645
253-6  _247 
43-179 _-136
253-995_-742
592-318_274 
770-83 _687 
5-346  _-341
559-27 _532 
297-365_-68 
66-548 _-482
338-0  _338 
858-59 _799 
361-20 _341 
13-84  _-71 
306-357_-51 
982-30 _952 
827-606_221 
739-26 _713 
722-85 _637 
77-795 _-718
32-774 _-742
899-305_594 
136-938_-802
33-466 _-433
967-8  _959 
911-911_0   
547-62 _485 
94-619 _-525
765-93 _672 
62-201 _-139
89-18  _71  
26-565 _-539
422-46 _376 
759-44 _715 
645-55 _590 
127-8  _119 
946-34 _912 
927-69 _858 
968-95 _873 
7-354  _-347
931-4  _927 
63-872 _-809
67-808 _-741
278-558_-280
7-588  _-581
697-556_141 
39-278 _-239
372-991_-619
404-688_-284
82-228 _-146
675-937_-262
991-140_851 
608-701_-93 
228-22 _206 
321-232_89  
794-33 _761 
561-26 _535 
656-118_538 
793-55 _738 
355-49 _306 
525-31 _494 
454-390_64  
355-68 _287 
746-9  _737 
385-807_-422
3-765  _-762
227-51 _176 
853-30 _823 
459-33 _426 
32-15  _17  
68-931 _-863
11-950 _-939
716-509_207 
19-574 _-555
456-65 _391 
6-825  _-819
498-72 _426 
56-565 _-509
921-61 _860 
547-613_-66 
875-873_2   
774-14 _760 
30-360 _-330
969-716_253 
308-943_-635
41-337 _-296
580-913_-333
486-63 _423 
655-4  _651 
480-245_235 
510-411_99  
89-86  _3   
548-50 _498 
8-102  _-94 
240-22 _218 
70-560 _-490
56-270 _-214
64-607 _-543
67-731 _-664
596-55 _541 
976-956_20  
88-779 _-691
509-64 _445 
632-727_-95 
25-52  _-27 
260-902_-642
694-156_538 
167-255_-88 
18-212 _-194
233-60 _173 
748-20 _728 
181-283_-102
165-38 _127 
57-665 _-608
502-82 _420 
688-87 _601 
42-827 _-785
72-420 _-348
12-96  _-84 
890-86 _804 
384-994_-610
41-780 _-739
5-357  _-352
797-44 _753 
34-487 _-453
650-52 _598 
958-4  _954 
417-500_-83 
95-656 _-561
368-70 _298 
240-271_-31 
430-973_-543
120-80 _40  
231-28 _203 
839-439_400 
2-338  _-336
144-197_-53 
374-2  _372 
301-83 _218 
990-862_128 
816-93 _723 
96-302 _-206
338-32 _306 
56-418 _-362
859-24 _835 
272-45 _227 
681-26 _655 
14-584 _-570
886-43 _843 
88-532 _-444
668-4  _664 
708-634_74  
31-212 _-181
91-64  _27  
152-630_-478
6-700  _-694
17-299 _-282
7-946  _-939
425-59 _366 
443-26 _417 
903-294_609 
962-2  _960 
284-240_44  
54-111 _-57 
129-83 _46  
129-21 _108 
852-40 _812 
35-188 _-153
921-105_816 
801-545_256 
47-315 _-268
770-291_479 
969-55 _914 
772-764_8   
89-58  _31  
8-627  _-619
5-584  _-579
7-531  _-524
29-817 _-788
64-471 _-407
65-555 _-490
2-368  _-366
77-546 _-469
26-65  _-39 
90-939 _-849
97-97  _0   
92-840 _-748
227-467_-240
73-738 _-665
8-645  _-637
622-17 _605 
522-317_205 
889-28 _861 
37-803 _-766
91-719 _-628
693-576_117 
99-189 _-90 
267-16 _251 
810-439_371 
182-52 _130 
84-111 _-27 
158-94 _64  
194-74 _120 
723-262_461 
838-433_405 
301-860_-559
61-739 _-678
167-70 _97  
90-189 _-99 
4-873  _-869
0-298  _-298
125-72 _53  
6-255  _-249
234-68 _166 
219-216_3   
590-578_12  
79-385 _-306
545-48 _497 
318-86 _232 
391-48 _343 
396-3  _393 
73-26  _47  
743-92 _651 
68-528 _-460
671-61 _610 
964-78 _886 
58-152 _-94 
23-71  _-48 
864-607_257 
913-25 _888 
939-9  _930 
729-712_17  
518-109_409 
333-637_-304
516-89 _427 
9-796  _-787
80-655 _-575
818-985_-167
922-845_77  
815-30 _785 
38-877 _-839
233-36 _197 
479-70 _409 
891-553_338 
752-83 _669 
419-560_-141
560-21 _539 
26-599 _-573
62-133 _-71 
183-830_-647
93-16  _77  
219-312_-93 
217-305_-88 
693-240_453 
45-887 _-842
731-438_293 
394-918_-524
386-427_-41 
689-157_532 
407-95 _312 
4-254  _-250
794-905_-111
752-766_-14 
142-213_-71 
48-536 _-488
68-539 _-471
909-96 _813 
974-551_423 
990-77 _913 
98-48  _50  
86-787 _-701
64-76  _-12 
484-250_234 
939-74 _865 
656-968_-312
356-75 _281 
802-341_461 
903-62 _841 
86-30  _56  
62-115 _-53 
575-81 _494 
79-140 _-61 
150-94 _56  
50-264 _-214
3-679  _-676
43-43  _0   
473-7  _466 
642-46 _596 
555-35 _520 
3-595  _-592
317-920_-603
92-451 _-359
0-850  _-850
69-941 _-872
96-158 _-62 
962-163_799 
162-66 _96  
229-4  _225 
3-633  _-630
191-122_69  
497-47 _450 
348-992_-644
0-380  _-380
33-782 _-749
64-104 _-40 
547-40 _507 
790-541_249 
616-18 _598 
31-34  _-3  
560-37 _523 
181-544_-363
91-47  _44  
871-190_681 
511-569_-58 
870-209_661 
835-198_637 
612-14 _598 
780-66 _714 
919-370_549 
73-674 _-601
183-342_-159
518-767_-249
20-397 _-377
73-63  _10  
329-809_-480
249-22 _227 
0-188  _-188
582-984_-402
512-229_283 
127-856_-729
616-6  _610 
28-263 _-235
9-227  _-218
932-76 _856 
235-454_-219
384-44 _340 
166-955_-789
785-37 _748 
787-8  _779 
62-625 _-563
20-255 _-235
559-135_424 
635-295_340 
71-623 _-552
62-61  _1   
48-243 _-195
814-624_190 
9-848  _-839
63-714 _-651
302-64 _238 
62-123 _-61 
870-4  _866 
852-818_34  
111-15 _96  
56-62  _-6  
907-47 _860 
655-652_3   
487-92 _395 
301-602_-301
122-49 _73  
603-40 _563 
666-76 _590 
582-340_242 
132-68 _64  
562-14 _548 
177-435_-258
573-943_-370
73-690 _-617
747-46 _701 
9-416  _-407
951-58 _893 
815-201_614 
318-61 _257 
726-787_-61 
29-322 _-293
75-96  _-21 
281-794_-513
997-266_731 
545-177_368 
902-929_-27 
308-2  _306 
62-983 _-921
499-940_-441
951-84 _867 
256-56 _200 
74-972 _-898
489-54 _435 
304-895_-591
754-716_38  
71-694 _-623
52-29  _23  
13-131 _-118
483-90 _393 
264-130_134 
1-576  _-575
400-67 _333 
532-469_63  
169-210_-41 
501-4  _497 
98-13  _85  
789-0  _789 
702-528_174 
82-431 _-349
293-45 _248 
79-196 _-117
356-26 _330 
123-12 _111 
959-701_258 
191-803_-612
3-470  _-467
495-77 _418 
461-22 _439 
168-64 _104 
84-133 _-49 
122-744_-622
394-7  _387 
45-705 _-660
103-80 _23  
31-85  _-54 
960-98 _862 
8-187  _-179
1-104  _-103
28-121 _-93 
875-787_88  
170-11 _159 
609-612_-3  
374-1  _373 
69-551 _-482
146-90 _56  
14-926 _-912
51-586 _-535
641-0  _641 
4-599  _-595
58-684 _-626
72-907 _-835
775-7  _768 
653-20 _633 
338-663_-325
441-399_42  
635-136_499 
8-105  _-97 
27-267 _-240
91-147 _-56 
215-414_-199
660-673_-13 
65-801 _-736
625-8  _617 
210-183_27  
9-703  _-694
164-48 _116 
345-44 _301 
562-233_329 
1-316  _-315
984-107_877 
747-610_137 
84-716 _-632
711-961_-250
279-94 _185 
421-99 _322 
550-95 _455 
79-554 _-475
76-626 _-550
826-339_487 
13-132 _-119
9-216  _-207
53-132 _-79 
362-11 _351 
8-610  _-602
238-72 _166 
556-7  _549 
819-36 _783 
32-443 _-411
770-875_-105
5-835  _-830
274-36 _238 
987-17 _970 
3-251  _-248
757-648_109 
12-298 _-286
988-372_616 
413-93 _320 
728-185_543 
2-594  _-592
987-757_230 
82-336 _-254
613-9  _604 
355-162_193 
38-894 _-856
181-234_-53 
894-98 _796 
4-116  _-112
853-17 _836 
80-896 _-816
926-560_366 
43-928 _-885
416-7  _409 
301-407_-106
751-272_479 
78-533 _-455
199-67 _132 
310-15 _295 
105-28 _77  
969-740_229 
722-789_-67 
457-32 _425 
260-67 _193 
8-556  _-548
550-4  _546 
612-809_-197
61-902 _-841
363-519_-156
90-238 _-148
621-4  _617 
7-912  _-905
421-425_-4  
58-366 _-308
702-29 _673 
434-19 _415 
48-53  _-5  
240-79 _161 
290-407_-117
257-324_-67 
650-10 _640 
502-9  _493 
719-77 _642 
200-61 _139 
876-93 _783 
211-114_97  
684-32 _652 
70-266 _-196
381-952_-571
76-889 _-813
9-627  _-618
61-804 _-743
736-75 _661 
609-137_472 
12-236 _-224
44-39  _5   
99-77  _22  
766-782_-16 
40-86  _-46 
9-693  _-684
111-297_-186
186-925_-739
300-423_-123
239-59 _180 
90-422 _-332
380-79 _301 
69-807 _-738
66-337 _-271
523-31 _492 
857-70 _787 
393-421_-28 
92-567 _-475
571-612_-41 
91-983 _-892
78-503 _-425
16-709 _-693
328-4  _324 
836-623_213 
318-92 _226 
913-969_-56 
66-126 _-60 
985-81 _904 
628-91 _537 
698-921_-223
59-244 _-185
147-86 _61  
73-399 _-326
850-15 _835 
969-64 _905 
251-303_-52 
10-913 _-903
936-635_301 
78-684 _-606
673-53 _620 
606-9  _597 
797-607_190 
719-367_352 
408-140_268 
835-174_661 
198-69 _129 
67-690 _-623
50-105 _-55 
621-7  _614 
432-32 _400 
423-92 _331 
337-940_-603
213-965_-752
384-72 _312 
322-916_-594
675-4  _671 
54-829 _-775
733-480_253 
61-208 _-147
85-70  _15  
262-17 _245 
782-244_538 
88-222 _-134
178-6  _172 
482-713_-231
845-1  _844 
66-857 _-791
86-125 _-39 
462-844_-382
0-387  _-387
900-454_446 
63-123 _-60 
936-312_624 
773-861_-88 
81-27  _54  
289-876_-587
12-313 _-301
90-636 _-546
564-3  _561 
128-2  _126 
444-167_277 
853-674_179 
885-441_444 
859-758_101 
92-411 _-319
8-880  _-872
7-452  _-445
154-6  _148 
630-336_294 
940-31 _909 
515-809_-294
602-33 _569 
510-383_127 
5-223  _-218
66-728 _-662
93-798 _-705
943-88 _855 
924-7  _917 
68-777 _-709
139-598_-459
290-244_46  
103-976_-873
38-206 _-168
159-22 _137 
372-391_-19 
755-533_222 
852-43 _809 
96-986 _-890
969-2  _967 
855-39 _816 
1-567  _-566
208-13 _195 
584-78 _506 
480-74 _406 
296-16 _280 
754-295_459 
52-831 _-779
49-516 _-467
540-97 _443 
140-828_-688
29-629 _-600
750-177_573 
58-434 _-376
66-626 _-560
292-13 _279 
45-545 _-500
139-583_-444
8-897  _-889
384-779_-395
99-154 _-55 
13-101 _-88 
51-210 _-159
237-840_-603
930-21 _909 
373-99 _274 
467-42 _425 
27-604 _-577
730-60 _670 
814-6  _808 
574-659_-85 
53-528 _-475
609-890_-281
523-457_66  
62-890 _-828
555-182_373 
79-161 _-82 
50-41  _9   
703-76 _627 
994-50 _944 
262-975_-713
661-709_-48 
930-44 _886 
304-34 _270 
441-9  _432 
92-348 _-256
682-857_-175
7-539  _-532
617-258_359 
720-158_562 
78-742 _-664
56-13  _43  
78-903 _-825
863-245_618 
28-828 _-800
60-217 _-157
7-429  _-422
17-749 _-732
48-377 _-329
8-401  _-393
3-896  _-893
26-370 _-344
913-5  _908 
35-653 _-618
686-38 _648 
14-490 _-476
65-181 _-116
301-763_-462
866-18 _848 
651-552_99  
86-29  _57  
140-50 _90  
536-7  _529 
31-861 _-830
805-394_411 
427-29 _398 
545-920_-375
6-544  _-538
588-291_297 
23-633 _-610
34-276 _-242
516-862_-346
642-15 _627 
546-59 _487 
849-650_199 
63-31  _32  
30-984 _-954
54-989 _-935
825-710_115 
45-401 _-356
32-377 _-345
618-29 _589 
35-77  _-42 
763-100_663 
17-93  _-76 
379-559_-180
566-764_-198
502-711_-209
164-39 _125 
652-631_21  
471-22 _449 
250-72 _178 
673-389_284 
924-338_586 
683-966_-283
14-789 _-775
315-6  _309 
276-866_-590
493-987_-494
72-536 _-464
90-640 _-550
831-1  _830 
918-689_229 
14-446 _-432
762-389_373 
803-64 _739 
23-468 _-445
272-38 _234 
515-9  _506 
38-815 _-777
69-150 _-81 
106-940_-834
901-53 _848 
145-302_-157
65-710 _-645
696-616_80  
375-37 _338 
47-491 _-444
972-4  _968 
61-143 _-82 
73-142 _-69 
410-56 _354 
199-12 _187 
